file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqli/../../sqli/sqli-builder/src/main/java/io/xream/sqli/util/JsonStyleMapUtil.java,io.xream.sqli.util.JsonStyleMapUtil,"toJsonableMap/1[java.util.Map<java.lang.String,java.lang.Object>]",false,34,0,2,2,0,4,8,25,1,7,1,8,0,0,1,0,0,0,2,2,9,0,3,0,0,0,13,9,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqli/../../sqli/sqli-builder/src/main/java/io/xream/sqli/util/JsonStyleMapUtil.java,io.xream.sqli.util.JsonStyleMapUtil,JsonStyleMapUtil/0,true,32,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqli/../../sqli/sqli-builder/src/main/java/io/xream/sqli/util/JsonStyleMapUtil.java,io.xream.sqli.util.JsonStyleMapUtil,"toJsonableMapList/1[java.util.List<java.util.Map<java.lang.String,java.lang.Object>>]",false,58,1,2,1,1,2,2,8,1,2,1,2,1,1,1,0,0,0,0,0,2,0,1,0,0,0,9,9,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqli/../../sqli/sqli-core/src/main/java/io/xream/sqli/api/customizer/DialectCustomizer.java,io.xream.sqli.api.customizer.DialectCustomizer,customize/0,false,27,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqli/../../sqli/sqli-repo/src/main/java/io/xream/sqli/repository/internal/DefaultNativeRepository.java,io.xream.sqli.repository.internal.DefaultNativeRepository,setNativeSupport/1[io.xream.sqli.core.NativeSupport],false,50,1,1,1,0,2,0,5,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,5,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqli/../../sqli/sqli-repo/src/main/java/io/xream/sqli/repository/internal/DefaultNativeRepository.java,io.xream.sqli.repository.internal.DefaultNativeRepository,DefaultNativeRepository/0,true,41,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqli/../../sqli/sqli-repo/src/main/java/io/xream/sqli/repository/internal/DefaultNativeRepository.java,io.xream.sqli.repository.internal.DefaultNativeRepository,newInstance/0,false,42,2,2,1,1,2,0,7,2,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,7,9,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqli/../../sqli/sqli-repo/src/main/java/io/xream/sqli/repository/internal/DefaultNativeRepository.java,io.xream.sqli.repository.internal.DefaultNativeRepository,"list/2[java.lang.String,java.util.List<java.lang.Object>]",false,68,4,5,0,5,2,4,12,1,0,2,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,9,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqli/../../sqli/sqli-repo/src/main/java/io/xream/sqli/repository/internal/DefaultNativeRepository.java,io.xream.sqli.repository.internal.DefaultNativeRepository,"execute/2[java.lang.String,java.lang.Object[]]",false,57,4,4,0,4,2,3,12,1,0,2,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,8,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqli/../../sqli/sqli-dialect/src/main/java/io/xream/sqli/dialect/MySqlDialect.java,io.xream.sqli.dialect.MySqlDialect,"transformAlia/3[java.lang.String,java.util.Map<java.lang.String,java.lang.String>,java.util.Map<java.lang.String,java.lang.String>]",false,110,0,0,0,0,2,2,6,1,0,3,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,6,1,0,false
