file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqli/../../sqli/sqli-builder/src/main/java/io/xream/sqli/util/JsonStyleMapUtil.java,io.xream.sqli.util.JsonStyleMapUtil,"toJsonableMap/1[java.util.Map<java.lang.String,java.lang.Object>]",arr,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqli/../../sqli/sqli-builder/src/main/java/io/xream/sqli/util/JsonStyleMapUtil.java,io.xream.sqli.util.JsonStyleMapUtil,"toJsonableMap/1[java.util.Map<java.lang.String,java.lang.Object>]",stringKeyMap,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqli/../../sqli/sqli-builder/src/main/java/io/xream/sqli/util/JsonStyleMapUtil.java,io.xream.sqli.util.JsonStyleMapUtil,"toJsonableMap/1[java.util.Map<java.lang.String,java.lang.Object>]",objMap,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqli/../../sqli/sqli-builder/src/main/java/io/xream/sqli/util/JsonStyleMapUtil.java,io.xream.sqli.util.JsonStyleMapUtil,"toJsonableMap/1[java.util.Map<java.lang.String,java.lang.Object>]",jsonKey,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqli/../../sqli/sqli-builder/src/main/java/io/xream/sqli/util/JsonStyleMapUtil.java,io.xream.sqli.util.JsonStyleMapUtil,"toJsonableMap/1[java.util.Map<java.lang.String,java.lang.Object>]",obj,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqli/../../sqli/sqli-builder/src/main/java/io/xream/sqli/util/JsonStyleMapUtil.java,io.xream.sqli.util.JsonStyleMapUtil,"toJsonableMap/1[java.util.Map<java.lang.String,java.lang.Object>]",stringKey,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqli/../../sqli/sqli-builder/src/main/java/io/xream/sqli/util/JsonStyleMapUtil.java,io.xream.sqli.util.JsonStyleMapUtil,"toJsonableMap/1[java.util.Map<java.lang.String,java.lang.Object>]",es,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqli/../../sqli/sqli-builder/src/main/java/io/xream/sqli/util/JsonStyleMapUtil.java,io.xream.sqli.util.JsonStyleMapUtil,"toJsonableMap/1[java.util.Map<java.lang.String,java.lang.Object>]",propKey,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqli/../../sqli/sqli-builder/src/main/java/io/xream/sqli/util/JsonStyleMapUtil.java,io.xream.sqli.util.JsonStyleMapUtil,"toJsonableMap/1[java.util.Map<java.lang.String,java.lang.Object>]",jsonableMap,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqli/../../sqli/sqli-builder/src/main/java/io/xream/sqli/util/JsonStyleMapUtil.java,io.xream.sqli.util.JsonStyleMapUtil,"toJsonableMapList/1[java.util.List<java.util.Map<java.lang.String,java.lang.Object>>]",stringKeyList,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqli/../../sqli/sqli-builder/src/main/java/io/xream/sqli/util/JsonStyleMapUtil.java,io.xream.sqli.util.JsonStyleMapUtil,"toJsonableMapList/1[java.util.List<java.util.Map<java.lang.String,java.lang.Object>>]",list,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqli/../../sqli/sqli-builder/src/main/java/io/xream/sqli/util/JsonStyleMapUtil.java,io.xream.sqli.util.JsonStyleMapUtil,"toJsonableMapList/1[java.util.List<java.util.Map<java.lang.String,java.lang.Object>>]",jsonKeyMap,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqli/../../sqli/sqli-builder/src/main/java/io/xream/sqli/util/JsonStyleMapUtil.java,io.xream.sqli.util.JsonStyleMapUtil,"toJsonableMapList/1[java.util.List<java.util.Map<java.lang.String,java.lang.Object>>]",map,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqli/../../sqli/sqli-repo/src/main/java/io/xream/sqli/repository/internal/DefaultNativeRepository.java,io.xream.sqli.repository.internal.DefaultNativeRepository,setNativeSupport/1[io.xream.sqli.core.NativeSupport],nativeSupport,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqli/../../sqli/sqli-repo/src/main/java/io/xream/sqli/repository/internal/DefaultNativeRepository.java,io.xream.sqli.repository.internal.DefaultNativeRepository,"list/2[java.lang.String,java.util.List<java.lang.Object>]",conditionList,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqli/../../sqli/sqli-repo/src/main/java/io/xream/sqli/repository/internal/DefaultNativeRepository.java,io.xream.sqli.repository.internal.DefaultNativeRepository,"list/2[java.lang.String,java.util.List<java.lang.Object>]",e,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqli/../../sqli/sqli-repo/src/main/java/io/xream/sqli/repository/internal/DefaultNativeRepository.java,io.xream.sqli.repository.internal.DefaultNativeRepository,"list/2[java.lang.String,java.util.List<java.lang.Object>]",sql,1
