file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlite-jdbc/../../sqlite-jdbc/src/main/java/org/sqlite/SQLiteConnection.java,org.sqlite.SQLiteConnection,addCommitListener/1[org.sqlite.SQLiteCommitListener],db,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlite-jdbc/../../sqlite-jdbc/src/main/java/org/sqlite/SQLiteConnection.java,org.sqlite.SQLiteConnection,setTransactionIsolation/1[int],connectionConfig,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlite-jdbc/../../sqlite-jdbc/src/main/java/org/sqlite/SQLiteConnection.java,org.sqlite.SQLiteConnection,getDatabase/0,db,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlite-jdbc/../../sqlite-jdbc/src/main/java/org/sqlite/SQLiteConnection.java,org.sqlite.SQLiteConnection,close/0,meta,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlite-jdbc/../../sqlite-jdbc/src/main/java/org/sqlite/SQLiteConnection.java,org.sqlite.SQLiteConnection,close/0,db,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlite-jdbc/../../sqlite-jdbc/src/main/java/org/sqlite/SQLiteConnection.java,org.sqlite.SQLiteConnection,removeCommitListener/1[org.sqlite.SQLiteCommitListener],db,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlite-jdbc/../../sqlite-jdbc/src/main/java/org/sqlite/SQLiteConnection.java,org.sqlite.SQLiteConnection,setTransactionMode/1[org.sqlite.SQLiteConfig.TransactionMode],connectionConfig,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlite-jdbc/../../sqlite-jdbc/src/main/java/org/sqlite/SQLiteConnection.java,org.sqlite.SQLiteConnection,getCurrentTransactionMode/0,currentTransactionMode,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlite-jdbc/../../sqlite-jdbc/src/main/java/org/sqlite/SQLiteConnection.java,org.sqlite.SQLiteConnection,transactionPrefix/0,connectionConfig,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlite-jdbc/../../sqlite-jdbc/src/main/java/org/sqlite/SQLiteConnection.java,org.sqlite.SQLiteConnection,serialize/1[java.lang.String],db,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlite-jdbc/../../sqlite-jdbc/src/main/java/org/sqlite/SQLiteConnection.java,org.sqlite.SQLiteConnection,setFirstStatementExecuted/1[boolean],firstStatementExecuted,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlite-jdbc/../../sqlite-jdbc/src/main/java/org/sqlite/SQLiteConnection.java,org.sqlite.SQLiteConnection,setBusyTimeout/1[int],db,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlite-jdbc/../../sqlite-jdbc/src/main/java/org/sqlite/SQLiteConnection.java,org.sqlite.SQLiteConnection,getUrl/0,db,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlite-jdbc/../../sqlite-jdbc/src/main/java/org/sqlite/SQLiteConnection.java,org.sqlite.SQLiteConnection,getLimit/1[org.sqlite.SQLiteLimits],db,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlite-jdbc/../../sqlite-jdbc/src/main/java/org/sqlite/SQLiteConnection.java,org.sqlite.SQLiteConnection,getSQLiteDatabaseMetaData/0,meta,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlite-jdbc/../../sqlite-jdbc/src/main/java/org/sqlite/SQLiteConnection.java,org.sqlite.SQLiteConnection,libversion/0,db,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlite-jdbc/../../sqlite-jdbc/src/main/java/org/sqlite/SQLiteConnection.java,org.sqlite.SQLiteConnection,getAutoCommit/0,connectionConfig,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlite-jdbc/../../sqlite-jdbc/src/main/java/org/sqlite/SQLiteConnection.java,org.sqlite.SQLiteConnection,setCurrentTransactionMode/1[org.sqlite.SQLiteConfig.TransactionMode],currentTransactionMode,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlite-jdbc/../../sqlite-jdbc/src/main/java/org/sqlite/SQLiteConnection.java,org.sqlite.SQLiteConnection,getTransactionIsolation/0,connectionConfig,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlite-jdbc/../../sqlite-jdbc/src/main/java/org/sqlite/SQLiteConnection.java,org.sqlite.SQLiteConnection,"SQLiteConnection/3[java.lang.String,java.lang.String,java.util.Properties]",currentTransactionMode,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlite-jdbc/../../sqlite-jdbc/src/main/java/org/sqlite/SQLiteConnection.java,org.sqlite.SQLiteConnection,"SQLiteConnection/3[java.lang.String,java.lang.String,java.util.Properties]",firstStatementExecuted,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlite-jdbc/../../sqlite-jdbc/src/main/java/org/sqlite/SQLiteConnection.java,org.sqlite.SQLiteConnection,"SQLiteConnection/3[java.lang.String,java.lang.String,java.util.Properties]",connectionConfig,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlite-jdbc/../../sqlite-jdbc/src/main/java/org/sqlite/SQLiteConnection.java,org.sqlite.SQLiteConnection,"SQLiteConnection/3[java.lang.String,java.lang.String,java.util.Properties]",db,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlite-jdbc/../../sqlite-jdbc/src/main/java/org/sqlite/SQLiteConnection.java,org.sqlite.SQLiteConnection,isClosed/0,db,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlite-jdbc/../../sqlite-jdbc/src/main/java/org/sqlite/SQLiteConnection.java,org.sqlite.SQLiteConnection,SQLiteConnection/1[org.sqlite.core.DB],connectionConfig,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlite-jdbc/../../sqlite-jdbc/src/main/java/org/sqlite/SQLiteConnection.java,org.sqlite.SQLiteConnection,SQLiteConnection/1[org.sqlite.core.DB],db,5
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlite-jdbc/../../sqlite-jdbc/src/main/java/org/sqlite/SQLiteConnection.java,org.sqlite.SQLiteConnection,addUpdateListener/1[org.sqlite.SQLiteUpdateListener],db,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlite-jdbc/../../sqlite-jdbc/src/main/java/org/sqlite/SQLiteConnection.java,org.sqlite.SQLiteConnection,"open/3[java.lang.String,java.lang.String,java.util.Properties]",RESOURCE_NAME_PREFIX,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlite-jdbc/../../sqlite-jdbc/src/main/java/org/sqlite/SQLiteConnection.java,org.sqlite.SQLiteConnection,"deserialize/2[java.lang.String,byte[]]",db,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlite-jdbc/../../sqlite-jdbc/src/main/java/org/sqlite/SQLiteConnection.java,org.sqlite.SQLiteConnection,getConnectionConfig/0,connectionConfig,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlite-jdbc/../../sqlite-jdbc/src/main/java/org/sqlite/SQLiteConnection.java,org.sqlite.SQLiteConnection,removeUpdateListener/1[org.sqlite.SQLiteUpdateListener],db,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlite-jdbc/../../sqlite-jdbc/src/main/java/org/sqlite/SQLiteConnection.java,org.sqlite.SQLiteConnection,isFirstStatementExecuted/0,firstStatementExecuted,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlite-jdbc/../../sqlite-jdbc/src/main/java/org/sqlite/SQLiteConnection.java,org.sqlite.SQLiteConnection,commit/0,firstStatementExecuted,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlite-jdbc/../../sqlite-jdbc/src/main/java/org/sqlite/SQLiteConnection.java,org.sqlite.SQLiteConnection,commit/0,connectionConfig,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlite-jdbc/../../sqlite-jdbc/src/main/java/org/sqlite/SQLiteConnection.java,org.sqlite.SQLiteConnection,commit/0,db,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlite-jdbc/../../sqlite-jdbc/src/main/java/org/sqlite/SQLiteConnection.java,org.sqlite.SQLiteConnection,"setLimit/2[org.sqlite.SQLiteLimits,int]",db,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlite-jdbc/../../sqlite-jdbc/src/main/java/org/sqlite/SQLiteConnection.java,org.sqlite.SQLiteConnection,setAutoCommit/1[boolean],currentTransactionMode,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlite-jdbc/../../sqlite-jdbc/src/main/java/org/sqlite/SQLiteConnection.java,org.sqlite.SQLiteConnection,setAutoCommit/1[boolean],connectionConfig,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlite-jdbc/../../sqlite-jdbc/src/main/java/org/sqlite/SQLiteConnection.java,org.sqlite.SQLiteConnection,setAutoCommit/1[boolean],db,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlite-jdbc/../../sqlite-jdbc/src/main/java/org/sqlite/SQLiteConnection.java,org.sqlite.SQLiteConnection,getBusyTimeout/0,db,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlite-jdbc/../../sqlite-jdbc/src/main/java/org/sqlite/SQLiteConnection.java,org.sqlite.SQLiteConnection,rollback/0,firstStatementExecuted,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlite-jdbc/../../sqlite-jdbc/src/main/java/org/sqlite/SQLiteConnection.java,org.sqlite.SQLiteConnection,rollback/0,connectionConfig,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlite-jdbc/../../sqlite-jdbc/src/main/java/org/sqlite/SQLiteConnection.java,org.sqlite.SQLiteConnection,rollback/0,db,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlite-jdbc/../../sqlite-jdbc/src/main/java/org/sqlite/jdbc4/JDBC4Statement.java,org.sqlite.jdbc4.JDBC4Statement,isCloseOnCompletion/0,closeOnCompletion,1
