file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlite-jdbc/../../sqlite-jdbc/src/test/java/org/sqlite/UDFTest.java,org.sqlite.UDFTest$Anonymous30,run/0,s,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlite-jdbc/../../sqlite-jdbc/src/test/java/org/sqlite/UDFTest.java,org.sqlite.UDFTest$Anonymous30,run/0,e,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlite-jdbc/../../sqlite-jdbc/src/main/java/org/sqlite/SQLiteConnection.java,org.sqlite.SQLiteConnection,addCommitListener/1[org.sqlite.SQLiteCommitListener],listener,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlite-jdbc/../../sqlite-jdbc/src/main/java/org/sqlite/SQLiteConnection.java,org.sqlite.SQLiteConnection,setTransactionIsolation/1[int],level,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlite-jdbc/../../sqlite-jdbc/src/main/java/org/sqlite/SQLiteConnection.java,org.sqlite.SQLiteConnection,removeCommitListener/1[org.sqlite.SQLiteCommitListener],listener,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlite-jdbc/../../sqlite-jdbc/src/main/java/org/sqlite/SQLiteConnection.java,org.sqlite.SQLiteConnection,"checkCursor/3[int,int,int]",rst,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlite-jdbc/../../sqlite-jdbc/src/main/java/org/sqlite/SQLiteConnection.java,org.sqlite.SQLiteConnection,"checkCursor/3[int,int,int]",rsc,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlite-jdbc/../../sqlite-jdbc/src/main/java/org/sqlite/SQLiteConnection.java,org.sqlite.SQLiteConnection,"checkCursor/3[int,int,int]",rsh,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlite-jdbc/../../sqlite-jdbc/src/main/java/org/sqlite/SQLiteConnection.java,org.sqlite.SQLiteConnection,setTransactionMode/1[org.sqlite.SQLiteConfig.TransactionMode],mode,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlite-jdbc/../../sqlite-jdbc/src/main/java/org/sqlite/SQLiteConnection.java,org.sqlite.SQLiteConnection,setSchema/1[java.lang.String],schema,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlite-jdbc/../../sqlite-jdbc/src/main/java/org/sqlite/SQLiteConnection.java,org.sqlite.SQLiteConnection,serialize/1[java.lang.String],schema,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlite-jdbc/../../sqlite-jdbc/src/main/java/org/sqlite/SQLiteConnection.java,org.sqlite.SQLiteConnection,setFirstStatementExecuted/1[boolean],firstStatementExecuted,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlite-jdbc/../../sqlite-jdbc/src/main/java/org/sqlite/SQLiteConnection.java,org.sqlite.SQLiteConnection,setBusyTimeout/1[int],timeoutMillis,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlite-jdbc/../../sqlite-jdbc/src/main/java/org/sqlite/SQLiteConnection.java,org.sqlite.SQLiteConnection,getLimit/1[org.sqlite.SQLiteLimits],limit,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/sqlite-jdbc/../../sqlite-jdbc/src/main/java/org/sqlite/SQLiteConnection.java,org.sqlite.SQLiteConnection,"SQLiteConnection/2[java.lang.String,java.lang.String]",fileName,1
