file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/stampede/../../stampede/main/src/main/java/com/torodb/stampede/config/model/backend/Backend.java,com.torodb.stampede.config.model.backend.Backend,class,20,26,6,20,6,2,0,6,13,0.75,0.06666667,0.06666667,6,0,6,0,0,0,6,0,0,0,2,1,1,1,0,0,1,0,0,23,3,0,0,0,0,5,0,3,0,2,0,0,0,0,27,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/stampede/../../stampede/main/src/main/java/com/torodb/stampede/CliConfig.java,com.torodb.stampede.CliConfig$BackendValueValidator,innerclass,4,4,0,4,6,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,15,0,1,4,0,1,3,0,2,1,2,3,0,0,0,16,9,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/stampede/../../stampede/service/src/test/java/com/torodb/stampede/StampedeServiceTest.java,com.torodb.stampede.StampedeServiceTest$Anonymous2,anonymous,1,1,0,1,4,1,0,0,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,0,0,0,1,1,0,0,0,0,0,0,0,10,-1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/stampede/../../stampede/service/src/test/java/com/torodb/stampede/StampedeServiceTest.java,com.torodb.stampede.StampedeServiceTest$Anonymous1,anonymous,4,4,0,4,2,1,0,3,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,3,1,0,2,0,0,0,0,0,9,-1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/stampede/../../stampede/main/src/main/java/com/torodb/stampede/config/model/mongo/replication/ShardReplication.java,com.torodb.stampede.config.model.mongo.replication.ShardReplication,class,13,16,3,13,5,2,0,5,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,17,5,0,0,0,0,8,0,0,0,0,0,0,0,0,20,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/stampede/../../stampede/main/src/main/java/com/torodb/stampede/config/model/backend/mysql/MySql.java,com.torodb.stampede.config.model.backend.mysql.MySql,class,9,10,1,9,10,2,0,10,45,0.0,0.0,0.0,10,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,32,9,0,0,0,0,22,1,0,0,0,0,0,0,0,22,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/stampede/../../stampede/main/src/main/java/com/torodb/stampede/CliConfig.java,com.torodb.stampede.CliConfig,class,7,12,5,7,94,1,0,7,1141,0.96142817,0.034285713,0.4644898,50,1,50,0,0,0,50,0,0,0,42,0,0,42,0,0,0,0,0,326,49,1,36,0,0,147,0,10,8,44,2,0,3,0,103,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/stampede/../../stampede/service/src/test/java/com/torodb/stampede/StampedeServiceTest.java,com.torodb.stampede.StampedeServiceTest,class,16,17,1,16,8,1,0,16,15,0.5714286,1.0,1.0,7,0,3,4,0,0,3,0,0,0,1,0,0,1,0,0,0,0,2,59,4,1,0,0,0,1,2,9,0,9,1,2,0,1,36,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/stampede/../../stampede/main/src/test/java/com/torodb/stampede/config/ConfigTest.java,com.torodb.stampede.config.ConfigTest$Anonymous1,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,1,0,0,0,0,1,0,1,1,1,0,0,0,0,5,-1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/stampede/../../stampede/main/src/test/java/com/torodb/stampede/config/ConfigTest.java,com.torodb.stampede.config.ConfigTest$Anonymous2,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,1,0,0,0,0,1,0,1,0,1,0,0,0,0,5,-1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/stampede/../../stampede/main/src/main/java/com/torodb/stampede/config/model/Config.java,com.torodb.stampede.config.model.Config,class,14,17,3,14,12,1,0,0,35,0.8,0.11111111,0.11111111,10,0,10,0,0,0,10,0,0,0,5,0,0,5,0,0,0,0,0,41,5,0,2,0,0,9,0,10,0,5,1,0,0,0,21,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/stampede/../../stampede/service/src/main/java/com/torodb/stampede/StampedeConfig.java,com.torodb.stampede.StampedeConfig,class,8,12,4,8,12,1,0,4,8,0.64285713,0.22222222,0.46666667,12,2,10,2,0,0,10,0,0,0,7,0,0,7,0,0,7,0,2,61,10,0,0,0,0,0,0,14,0,7,0,0,1,0,64,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/stampede/../../stampede/main/src/test/java/com/torodb/stampede/config/ConfigTest.java,com.torodb.stampede.config.ConfigTest$Anonymous3,anonymous,0,0,0,0,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,1,0,0,0,0,2,0,1,1,1,0,0,0,0,7,-1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/stampede/../../stampede/main/src/main/java/com/torodb/stampede/Main.java,com.torodb.stampede.Main,class,36,37,1,36,41,1,0,113,45,0.9,NaN,NaN,10,10,1,9,0,0,1,0,0,0,2,2,0,2,0,0,2,0,28,249,11,3,13,2,0,32,17,38,5,41,4,4,0,7,148,1,3
