file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/stampede/../../stampede/main/src/main/java/com/torodb/stampede/config/model/backend/Backend.java,com.torodb.stampede.config.model.backend.Backend,Backend/1[com.torodb.stampede.config.model.backend.BackendImplementation],backendImplementation,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/stampede/../../stampede/main/src/main/java/com/torodb/stampede/config/model/backend/Backend.java,com.torodb.stampede.config.model.backend.Backend,setPool/1[com.torodb.stampede.config.model.backend.Pool],pool,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/stampede/../../stampede/main/src/main/java/com/torodb/stampede/CliConfig.java,com.torodb.stampede.CliConfig$BackendValueValidator,"validate/2[java.lang.String,java.lang.String]",possibleValues,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/stampede/../../stampede/main/src/main/java/com/torodb/stampede/CliConfig.java,com.torodb.stampede.CliConfig$BackendValueValidator,"validate/2[java.lang.String,java.lang.String]",backendClass,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/stampede/../../stampede/main/src/main/java/com/torodb/stampede/CliConfig.java,com.torodb.stampede.CliConfig$BackendValueValidator,"validate/2[java.lang.String,java.lang.String]",backendClasses,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/stampede/../../stampede/main/src/main/java/com/torodb/stampede/CliConfig.java,com.torodb.stampede.CliConfig$BackendValueValidator,"validate/2[java.lang.String,java.lang.String]",name,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/stampede/../../stampede/main/src/main/java/com/torodb/stampede/CliConfig.java,com.torodb.stampede.CliConfig$BackendValueValidator,"validate/2[java.lang.String,java.lang.String]",value,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/stampede/../../stampede/service/src/test/java/com/torodb/stampede/StampedeServiceTest.java,com.torodb.stampede.StampedeServiceTest$Anonymous1,createConfig/1[com.torodb.stampede.ConsistencyHandler],consistencyHandler,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/stampede/../../stampede/main/src/main/java/com/torodb/stampede/CliConfig.java,com.torodb.stampede.CliConfig,"addParam/2[java.lang.String,java.lang.String]",path,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/stampede/../../stampede/main/src/main/java/com/torodb/stampede/CliConfig.java,com.torodb.stampede.CliConfig,"addParam/2[java.lang.String,java.lang.String]",value,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/stampede/../../stampede/main/src/main/java/com/torodb/stampede/CliConfig.java,com.torodb.stampede.CliConfig,addParams/0,backend,9
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/stampede/../../stampede/main/src/main/java/com/torodb/stampede/CliConfig.java,com.torodb.stampede.CliConfig,getBackendClass/1[java.lang.String],backendClass,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/stampede/../../stampede/main/src/main/java/com/torodb/stampede/CliConfig.java,com.torodb.stampede.CliConfig,getBackendClass/1[java.lang.String],backendClassLabel,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/stampede/../../stampede/main/src/main/java/com/torodb/stampede/CliConfig.java,com.torodb.stampede.CliConfig,getBackendClass/1[java.lang.String],backend,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/stampede/../../stampede/service/src/test/java/com/torodb/stampede/StampedeServiceTest.java,com.torodb.stampede.StampedeServiceTest,createBackendBundle/1[com.torodb.stampede.BundleConfig],bundleConfig,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/stampede/../../stampede/service/src/test/java/com/torodb/stampede/StampedeServiceTest.java,com.torodb.stampede.StampedeServiceTest,testCreateStampedeService/0,stampedeService,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/stampede/../../stampede/service/src/test/java/com/torodb/stampede/StampedeServiceTest.java,com.torodb.stampede.StampedeServiceTest,createShards/1[int],result,2
