file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/typedb/../../typedb/traversal/Traversal.java,com.vaticle.typedb.core.traversal.Traversal$Parameters,Parameters/0,smallestLTPredicates,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/typedb/../../typedb/traversal/Traversal.java,com.vaticle.typedb.core.traversal.Traversal$Parameters,Parameters/0,values,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/typedb/../../typedb/traversal/Traversal.java,com.vaticle.typedb.core.traversal.Traversal$Parameters,Parameters/0,largestGTPredicates,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/typedb/../../typedb/traversal/Traversal.java,com.vaticle.typedb.core.traversal.Traversal$Parameters,Parameters/0,iids,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/typedb/../../typedb/traversal/Traversal.java,com.vaticle.typedb.core.traversal.Traversal$Parameters,"getValues/2[com.vaticle.typedb.core.traversal.common.Identifier.Variable,com.vaticle.typedb.core.traversal.predicate.Predicate.Value<?,?>]",values,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/typedb/../../typedb/traversal/Traversal.java,com.vaticle.typedb.core.traversal.Traversal$Parameters,hashCode/0,values,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/typedb/../../typedb/traversal/Traversal.java,com.vaticle.typedb.core.traversal.Traversal$Parameters,hashCode/0,iids,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/typedb/../../typedb/traversal/Traversal.java,com.vaticle.typedb.core.traversal.Traversal$Parameters,toString/0,values,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/typedb/../../typedb/traversal/Traversal.java,com.vaticle.typedb.core.traversal.Traversal$Parameters,toString/0,iids,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/typedb/../../typedb/traversal/Traversal.java,com.vaticle.typedb.core.traversal.Traversal$Parameters,"pushValue/3[com.vaticle.typedb.core.traversal.common.Identifier.Variable,com.vaticle.typedb.core.traversal.predicate.Predicate.Value<?,?>,com.vaticle.typedb.core.traversal.Traversal.Parameters.Value<?>]",smallestLTPredicates,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/typedb/../../typedb/traversal/Traversal.java,com.vaticle.typedb.core.traversal.Traversal$Parameters,"pushValue/3[com.vaticle.typedb.core.traversal.common.Identifier.Variable,com.vaticle.typedb.core.traversal.predicate.Predicate.Value<?,?>,com.vaticle.typedb.core.traversal.Traversal.Parameters.Value<?>]",values,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/typedb/../../typedb/traversal/Traversal.java,com.vaticle.typedb.core.traversal.Traversal$Parameters,"pushValue/3[com.vaticle.typedb.core.traversal.common.Identifier.Variable,com.vaticle.typedb.core.traversal.predicate.Predicate.Value<?,?>,com.vaticle.typedb.core.traversal.Traversal.Parameters.Value<?>]",largestGTPredicates,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/typedb/../../typedb/traversal/Traversal.java,com.vaticle.typedb.core.traversal.Traversal$Parameters,smallestLTValue/1[com.vaticle.typedb.core.traversal.common.Identifier.Variable],smallestLTPredicates,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/typedb/../../typedb/traversal/Traversal.java,com.vaticle.typedb.core.traversal.Traversal$Parameters,equals/1[java.lang.Object],values,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/typedb/../../typedb/traversal/Traversal.java,com.vaticle.typedb.core.traversal.Traversal$Parameters,equals/1[java.lang.Object],iids,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/typedb/../../typedb/traversal/Traversal.java,com.vaticle.typedb.core.traversal.Traversal$Parameters,largestGTValue/1[com.vaticle.typedb.core.traversal.common.Identifier.Variable],largestGTPredicates,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/typedb/../../typedb/traversal/Traversal.java,com.vaticle.typedb.core.traversal.Traversal$Parameters,getIID/1[com.vaticle.typedb.core.traversal.common.Identifier.Variable],iids,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/typedb/../../typedb/traversal/Traversal.java,com.vaticle.typedb.core.traversal.Traversal$Parameters,"putIID/2[com.vaticle.typedb.core.traversal.common.Identifier.Variable,com.vaticle.typedb.core.encoding.iid.VertexIID.Thing]",iids,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/typedb/../../typedb/test/behaviour/query/TypeQLSteps.java,com.vaticle.typedb.core.test.behaviour.query.TypeQLSteps$ValueUniquenessCheck,check/1[com.vaticle.typedb.core.concept.Concept],valueType,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/typedb/../../typedb/test/behaviour/query/TypeQLSteps.java,com.vaticle.typedb.core.test.behaviour.query.TypeQLSteps$ValueUniquenessCheck,check/1[com.vaticle.typedb.core.concept.Concept],value,6
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/typedb/../../typedb/test/behaviour/query/TypeQLSteps.java,com.vaticle.typedb.core.test.behaviour.query.TypeQLSteps$ValueUniquenessCheck,ValueUniquenessCheck/1[java.lang.String],valueType,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/typedb/../../typedb/test/behaviour/query/TypeQLSteps.java,com.vaticle.typedb.core.test.behaviour.query.TypeQLSteps$ValueUniquenessCheck,ValueUniquenessCheck/1[java.lang.String],value,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/typedb/../../typedb/test/integration/logic/resolvable/UnifyRelationConcludableTest.java,com.vaticle.typedb.core.logic.resolvable.UnifyRelationConcludableTest,unUnify_produces_cartesian_named_types_only_for_unbound_vars/0,logicMgr,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/typedb/../../typedb/test/integration/logic/resolvable/UnifyRelationConcludableTest.java,com.vaticle.typedb.core.logic.resolvable.UnifyRelationConcludableTest,unUnify_produces_cartesian_named_types_only_for_unbound_vars/0,conceptMgr,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/typedb/../../typedb/test/integration/logic/resolvable/UnifyRelationConcludableTest.java,com.vaticle.typedb.core.logic.resolvable.UnifyRelationConcludableTest,relation_variables_one_to_many_unifiers/0,logicMgr,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/typedb/../../typedb/test/integration/logic/resolvable/UnifyRelationConcludableTest.java,com.vaticle.typedb.core.logic.resolvable.UnifyRelationConcludableTest,relation_variables_one_to_many_unifiers/0,conceptMgr,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/typedb/../../typedb/test/integration/logic/resolvable/UnifyRelationConcludableTest.java,com.vaticle.typedb.core.logic.resolvable.UnifyRelationConcludableTest,relation_variable_role_unifies_many_to_many_rule_relation_roles_2/0,logicMgr,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/typedb/../../typedb/test/integration/logic/resolvable/UnifyRelationConcludableTest.java,com.vaticle.typedb.core.logic.resolvable.UnifyRelationConcludableTest,relation_variable_role_unifies_many_to_many_rule_relation_roles_2/0,conceptMgr,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/typedb/../../typedb/test/integration/logic/resolvable/UnifyRelationConcludableTest.java,com.vaticle.typedb.core.logic.resolvable.UnifyRelationConcludableTest,tearDownTransaction/0,transaction,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/typedb/../../typedb/test/integration/logic/resolvable/UnifyRelationConcludableTest.java,com.vaticle.typedb.core.logic.resolvable.UnifyRelationConcludableTest,unUnify_produces_cartesian_named_types/0,logicMgr,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/typedb/../../typedb/test/integration/logic/resolvable/UnifyRelationConcludableTest.java,com.vaticle.typedb.core.logic.resolvable.UnifyRelationConcludableTest,unUnify_produces_cartesian_named_types/0,conceptMgr,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/typedb/../../typedb/test/integration/logic/resolvable/UnifyRelationConcludableTest.java,com.vaticle.typedb.core.logic.resolvable.UnifyRelationConcludableTest,"verifyUnificationSucceeds/2[java.lang.String,com.vaticle.typedb.core.logic.Rule]",transaction,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/typedb/../../typedb/test/integration/logic/resolvable/UnifyRelationConcludableTest.java,com.vaticle.typedb.core.logic.resolvable.UnifyRelationConcludableTest,tearDown/0,session,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/typedb/../../typedb/test/integration/logic/resolvable/UnifyRelationConcludableTest.java,com.vaticle.typedb.core.logic.resolvable.UnifyRelationConcludableTest,tearDown/0,databaseMgr,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/typedb/../../typedb/test/integration/logic/resolvable/UnifyRelationConcludableTest.java,com.vaticle.typedb.core.logic.resolvable.UnifyRelationConcludableTest,relation_variable_role_unifies_many_to_many_rule_relation_roles/0,logicMgr,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/typedb/../../typedb/test/integration/logic/resolvable/UnifyRelationConcludableTest.java,com.vaticle.typedb.core.logic.resolvable.UnifyRelationConcludableTest,relation_variable_role_unifies_many_to_many_rule_relation_roles/0,conceptMgr,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/typedb/../../typedb/test/integration/logic/resolvable/UnifyRelationConcludableTest.java,com.vaticle.typedb.core.logic.resolvable.UnifyRelationConcludableTest,unify_relation_many_to_many/0,logicMgr,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/typedb/../../typedb/test/integration/logic/resolvable/UnifyRelationConcludableTest.java,com.vaticle.typedb.core.logic.resolvable.UnifyRelationConcludableTest,unify_relation_many_to_many/0,conceptMgr,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/typedb/../../typedb/test/integration/logic/resolvable/UnifyRelationConcludableTest.java,com.vaticle.typedb.core.logic.resolvable.UnifyRelationConcludableTest,relation_duplicate_roles_unifies_rule_relation_duplicate_roles/0,logicMgr,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/typedb/../../typedb/test/integration/logic/resolvable/UnifyRelationConcludableTest.java,com.vaticle.typedb.core.logic.resolvable.UnifyRelationConcludableTest,relation_duplicate_roles_unifies_rule_relation_duplicate_roles/0,conceptMgr,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/typedb/../../typedb/test/integration/logic/resolvable/UnifyRelationConcludableTest.java,com.vaticle.typedb.core.logic.resolvable.UnifyRelationConcludableTest,setUpTransaction/0,logicMgr,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/typedb/../../typedb/test/integration/logic/resolvable/UnifyRelationConcludableTest.java,com.vaticle.typedb.core.logic.resolvable.UnifyRelationConcludableTest,setUpTransaction/0,session,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/typedb/../../typedb/test/integration/logic/resolvable/UnifyRelationConcludableTest.java,com.vaticle.typedb.core.logic.resolvable.UnifyRelationConcludableTest,setUpTransaction/0,conceptMgr,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/typedb/../../typedb/test/integration/logic/resolvable/UnifyRelationConcludableTest.java,com.vaticle.typedb.core.logic.resolvable.UnifyRelationConcludableTest,setUpTransaction/0,transaction,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/typedb/../../typedb/test/integration/logic/resolvable/UnifyRelationConcludableTest.java,com.vaticle.typedb.core.logic.resolvable.UnifyRelationConcludableTest,type/1[com.vaticle.typedb.core.common.parameters.Label],conceptMgr,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/typedb/../../typedb/test/integration/logic/resolvable/UnifyRelationConcludableTest.java,com.vaticle.typedb.core.logic.resolvable.UnifyRelationConcludableTest,relation_variable_multiple_identical_unifiers/0,logicMgr,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/typedb/../../typedb/test/integration/logic/resolvable/UnifyRelationConcludableTest.java,com.vaticle.typedb.core.logic.resolvable.UnifyRelationConcludableTest,relation_variable_multiple_identical_unifiers/0,conceptMgr,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/typedb/../../typedb/test/integration/logic/resolvable/UnifyRelationConcludableTest.java,com.vaticle.typedb.core.logic.resolvable.UnifyRelationConcludableTest,relation_unifies_many_to_many_rule_relation_players/0,logicMgr,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/typedb/../../typedb/test/integration/logic/resolvable/UnifyRelationConcludableTest.java,com.vaticle.typedb.core.logic.resolvable.UnifyRelationConcludableTest,relation_unifies_many_to_many_rule_relation_players/0,conceptMgr,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/typedb/../../typedb/test/integration/logic/resolvable/UnifyRelationConcludableTest.java,com.vaticle.typedb.core.logic.resolvable.UnifyRelationConcludableTest,setUp/0,database,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/typedb/../../typedb/test/integration/logic/resolvable/UnifyRelationConcludableTest.java,com.vaticle.typedb.core.logic.resolvable.UnifyRelationConcludableTest,setUp/0,dataDir,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/typedb/../../typedb/test/integration/logic/resolvable/UnifyRelationConcludableTest.java,com.vaticle.typedb.core.logic.resolvable.UnifyRelationConcludableTest,setUp/0,session,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/typedb/../../typedb/test/integration/logic/resolvable/UnifyRelationConcludableTest.java,com.vaticle.typedb.core.logic.resolvable.UnifyRelationConcludableTest,setUp/0,databaseMgr,5
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/typedb/../../typedb/test/integration/logic/resolvable/UnifyRelationConcludableTest.java,com.vaticle.typedb.core.logic.resolvable.UnifyRelationConcludableTest,setUp/0,options,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/typedb/../../typedb/test/integration/logic/resolvable/UnifyRelationConcludableTest.java,com.vaticle.typedb.core.logic.resolvable.UnifyRelationConcludableTest,setUp/0,transaction,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/typedb/../../typedb/test/integration/logic/resolvable/UnifyRelationConcludableTest.java,com.vaticle.typedb.core.logic.resolvable.UnifyRelationConcludableTest,relation_duplicate_roles_unifies_rule_relation_distinct_roles/0,logicMgr,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/typedb/../../typedb/test/integration/logic/resolvable/UnifyRelationConcludableTest.java,com.vaticle.typedb.core.logic.resolvable.UnifyRelationConcludableTest,relation_duplicate_roles_unifies_rule_relation_distinct_roles/0,conceptMgr,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/typedb/../../typedb/test/integration/logic/resolvable/UnifyRelationConcludableTest.java,com.vaticle.typedb.core.logic.resolvable.UnifyRelationConcludableTest,relation_distinct_roles_unifies_rule_relation_duplicate_roles/0,logicMgr,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/typedb/../../typedb/test/integration/logic/resolvable/UnifyRelationConcludableTest.java,com.vaticle.typedb.core.logic.resolvable.UnifyRelationConcludableTest,relation_distinct_roles_unifies_rule_relation_duplicate_roles/0,conceptMgr,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/typedb/../../typedb/test/integration/logic/resolvable/UnifyRelationConcludableTest.java,com.vaticle.typedb.core.logic.resolvable.UnifyRelationConcludableTest,typeHierarchy/1[java.lang.String],conceptMgr,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/typedb/../../typedb/test/integration/logic/resolvable/UnifyRelationConcludableTest.java,com.vaticle.typedb.core.logic.resolvable.UnifyRelationConcludableTest,instanceOf/1[java.lang.String],conceptMgr,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/typedb/../../typedb/test/integration/logic/resolvable/UnifyRelationConcludableTest.java,com.vaticle.typedb.core.logic.resolvable.UnifyRelationConcludableTest,"unifiers/2[java.lang.String,com.vaticle.typedb.core.logic.Rule]",logicMgr,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/typedb/../../typedb/test/integration/logic/resolvable/UnifyRelationConcludableTest.java,com.vaticle.typedb.core.logic.resolvable.UnifyRelationConcludableTest,"unifiers/2[java.lang.String,com.vaticle.typedb.core.logic.Rule]",conceptMgr,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/typedb/../../typedb/test/integration/logic/resolvable/UnifyRelationConcludableTest.java,com.vaticle.typedb.core.logic.resolvable.UnifyRelationConcludableTest,"rule/2[java.lang.String,java.lang.String]",logicMgr,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/typedb/../../typedb/test/integration/logic/resolvable/UnifyRelationConcludableTest.java,com.vaticle.typedb.core.logic.resolvable.UnifyRelationConcludableTest,relation_more_players_than_rule_relation_fails_unify/0,logicMgr,2
