file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/typedb/../../typedb/encoding/iid/VertexIID.java,com.vaticle.typedb.core.encoding.iid.VertexIID$Attribute$DateTime,DateTime/1[com.vaticle.typedb.core.common.collection.ByteArray],true,419,1,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/typedb/../../typedb/encoding/iid/VertexIID.java,com.vaticle.typedb.core.encoding.iid.VertexIID$Attribute$DateTime,"extract/2[com.vaticle.typedb.core.common.collection.ByteArray,int]",false,427,2,3,1,2,1,1,3,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25,9,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/typedb/../../typedb/encoding/iid/VertexIID.java,com.vaticle.typedb.core.encoding.iid.VertexIID$Attribute$DateTime,"DateTime/2[com.vaticle.typedb.core.encoding.iid.VertexIID.Type,java.time.LocalDateTime]",true,423,2,4,3,1,1,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/typedb/../../typedb/encoding/iid/VertexIID.java,com.vaticle.typedb.core.encoding.iid.VertexIID$Attribute$DateTime,value/0,false,432,1,3,0,3,2,3,4,1,0,0,3,0,0,0,1,0,0,0,0,1,0,1,0,0,0,11,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/typedb/../../typedb/encoding/iid/VertexIID.java,com.vaticle.typedb.core.encoding.iid.VertexIID$Attribute$DateTime,asDateTime/0,false,438,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/typedb/../../typedb/traversal/Traversal.java,com.vaticle.typedb.core.traversal.Traversal$Parameters,Parameters/0,true,102,2,7,7,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/typedb/../../typedb/traversal/Traversal.java,com.vaticle.typedb.core.traversal.Traversal$Parameters,"getValues/2[com.vaticle.typedb.core.traversal.common.Identifier.Variable,com.vaticle.typedb.core.traversal.predicate.Predicate.Value<?,?>]",false,134,3,3,3,0,1,2,3,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/typedb/../../typedb/traversal/Traversal.java,com.vaticle.typedb.core.traversal.Traversal$Parameters,hashCode/0,false,166,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/typedb/../../typedb/traversal/Traversal.java,com.vaticle.typedb.core.traversal.Traversal$Parameters,toString/0,false,147,0,5,5,0,3,5,7,1,1,0,5,0,0,0,0,0,0,4,0,1,0,1,0,0,0,6,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/typedb/../../typedb/traversal/Traversal.java,com.vaticle.typedb.core.traversal.Traversal$Parameters,"pushValue/3[com.vaticle.typedb.core.traversal.common.Identifier.Variable,com.vaticle.typedb.core.traversal.predicate.Predicate.Value<?,?>,com.vaticle.typedb.core.traversal.Traversal.Parameters.Value<?>]",false,114,6,12,11,1,9,8,15,0,3,3,8,0,0,0,6,0,0,0,2,2,0,2,0,0,1,11,1,0,false
