file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/IndexTree.java,IndexTree,"setTreeMap/1[java.util.TreeMap<IndexKey,IndexNode>]",false,16,2,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/IndexTree.java,IndexTree,IndexTree/0,true,8,2,2,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/IndexTree.java,IndexTree,"getFiles/2[Relationship,IndexKey]",false,65,4,3,1,2,2,3,8,1,2,2,3,1,1,1,0,0,0,0,0,2,0,1,0,0,0,10,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/IndexTree.java,IndexTree,"putIndex/3[IndexKey,java.lang.String,int]",false,78,3,5,2,3,2,3,9,0,2,3,3,0,0,0,1,0,0,0,0,3,0,1,0,0,0,8,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/IndexTree.java,IndexTree,"put/2[IndexKey,IndexNode]",false,74,2,0,0,0,1,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/IndexTree.java,IndexTree,getTreeMap/0,false,12,2,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/IndexTree.java,IndexTree,"find/2[Relationship,IndexKey]",false,20,3,1,1,0,11,8,39,1,3,2,8,0,0,2,3,1,0,1,0,5,0,3,0,0,0,13,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/Table.java,Table,dropTable/1[java.lang.String],false,138,1,3,1,2,2,2,8,2,1,1,2,2,1,0,0,0,0,6,0,1,3,1,0,0,0,11,9,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/Table.java,Table,findFileSet/1[java.util.List<SingleFilter>],false,722,5,10,3,7,2,8,13,1,7,1,8,0,0,1,0,0,0,0,0,7,0,1,0,0,0,18,2,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/Table.java,Table,Table/1[java.lang.String],true,22,1,2,2,0,1,0,9,0,0,1,0,0,0,0,0,0,0,6,0,7,4,0,0,0,0,9,2,0,true
