file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/IndexTree.java,IndexTree,"setTreeMap/1[java.util.TreeMap<IndexKey,IndexNode>]",treeMap,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/IndexTree.java,IndexTree,"getFiles/2[Relationship,IndexKey]",condition,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/IndexTree.java,IndexTree,"getFiles/2[Relationship,IndexKey]",indexNodes,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/IndexTree.java,IndexTree,"getFiles/2[Relationship,IndexKey]",relationship,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/IndexTree.java,IndexTree,"getFiles/2[Relationship,IndexKey]",fileSet,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/IndexTree.java,IndexTree,"getFiles/2[Relationship,IndexKey]",indexNode,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/IndexTree.java,IndexTree,"putIndex/3[IndexKey,java.lang.String,int]",filePath,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/IndexTree.java,IndexTree,"putIndex/3[IndexKey,java.lang.String,int]",indexKey,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/IndexTree.java,IndexTree,"putIndex/3[IndexKey,java.lang.String,int]",lineNum,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/IndexTree.java,IndexTree,"putIndex/3[IndexKey,java.lang.String,int]",index,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/IndexTree.java,IndexTree,"putIndex/3[IndexKey,java.lang.String,int]",indexNode,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/IndexTree.java,IndexTree,"put/2[IndexKey,IndexNode]",indexKey,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/IndexTree.java,IndexTree,"put/2[IndexKey,IndexNode]",indexNode,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/IndexTree.java,IndexTree,"find/2[Relationship,IndexKey]",node,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/IndexTree.java,IndexTree,"find/2[Relationship,IndexKey]",condition,5
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/IndexTree.java,IndexTree,"find/2[Relationship,IndexKey]",e,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/IndexTree.java,IndexTree,"find/2[Relationship,IndexKey]",indexNodeMap,8
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/IndexTree.java,IndexTree,"find/2[Relationship,IndexKey]",relationship,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/IndexTree.java,IndexTree,"find/2[Relationship,IndexKey]",indexNodeList,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/IndexTree.java,IndexTree,"find/2[Relationship,IndexKey]",indexNode,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/Table.java,Table,dropTable/1[java.lang.String],folder,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/Table.java,Table,dropTable/1[java.lang.String],name,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/Table.java,Table,findFileSet/1[java.util.List<SingleFilter>],condition,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/Table.java,Table,findFileSet/1[java.util.List<SingleFilter>],singleFilter,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/Table.java,Table,findFileSet/1[java.util.List<SingleFilter>],fieldName,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/Table.java,Table,findFileSet/1[java.util.List<SingleFilter>],indexKey,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/Table.java,Table,findFileSet/1[java.util.List<SingleFilter>],singleFilters,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/Table.java,Table,findFileSet/1[java.util.List<SingleFilter>],relationship,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/Table.java,Table,findFileSet/1[java.util.List<SingleFilter>],fieldType,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/Table.java,Table,findFileSet/1[java.util.List<SingleFilter>],indexTree,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/Table.java,Table,findFileSet/1[java.util.List<SingleFilter>],fileSet,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/Table.java,Table,Table/1[java.lang.String],name,5
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/Table.java,Table,readDatas/1[java.io.File],br,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/Table.java,Table,readDatas/1[java.io.File],dataMapList,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/Table.java,Table,readDatas/1[java.io.File],data,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/Table.java,Table,readDatas/1[java.io.File],e,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/Table.java,Table,readDatas/1[java.io.File],line,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/Table.java,Table,readDatas/1[java.io.File],datas,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/Table.java,Table,readDatas/1[java.io.File],dataMap,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/Table.java,Table,readDatas/1[java.io.File],fieldNames,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/Table.java,Table,readDatas/1[java.io.File],dataFile,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/Table.java,Table,readDatas/1[java.io.File],dataName,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/Table.java,Table,readDatas/1[java.io.File],fr,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/Table.java,Table,fileLineNum/1[java.io.File],br,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/Table.java,Table,fileLineNum/1[java.io.File],file,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/Table.java,Table,fileLineNum/1[java.io.File],e,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/Table.java,Table,fileLineNum/1[java.io.File],num,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/Table.java,Table,fileLineNum/1[java.io.File],fr,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/Table.java,Table,"writeDatas/2[java.io.File,java.util.List<java.util.Map<java.lang.String,java.lang.String>>]",data,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/Table.java,Table,"writeDatas/2[java.io.File,java.util.List<java.util.Map<java.lang.String,java.lang.String>>]",datas,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/Table.java,Table,"writeDatas/2[java.io.File,java.util.List<java.util.Map<java.lang.String,java.lang.String>>]",dataFile,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/Table.java,Table,"createTable/2[java.lang.String,java.util.Map<java.lang.String,Field>]",name,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/Table.java,Table,"createTable/2[java.lang.String,java.util.Map<java.lang.String,Field>]",fields,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/Table.java,Table,"createTable/2[java.lang.String,java.util.Map<java.lang.String,Field>]",table,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/Table.java,Table,buildIndex/0,data,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/Table.java,Table,buildIndex/0,datas,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/Table.java,Table,buildIndex/0,dataType,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/Table.java,Table,buildIndex/0,dataValue,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/Table.java,Table,buildIndex/0,fieldEntry,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/Table.java,Table,buildIndex/0,lineNum,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/Table.java,Table,buildIndex/0,indexKey,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/Table.java,Table,buildIndex/0,i,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/Table.java,Table,buildIndex/0,dataFile,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/Table.java,Table,buildIndex/0,dataName,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/Table.java,Table,buildIndex/0,indexTree,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/Table.java,Table,buildIndex/0,dataFiles,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/Table.java,Table,"checkType/1[java.util.Map<java.lang.String,java.lang.String>]",data,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/Table.java,Table,"checkType/1[java.util.Map<java.lang.String,java.lang.String>]",field,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/Table.java,Table,"checkType/1[java.util.Map<java.lang.String,java.lang.String>]",fieldIter,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/Table.java,Table,"checkType/1[java.util.Map<java.lang.String,java.lang.String>]",dataValue,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/Table.java,Table,"addDict/1[java.util.Map<java.lang.String,Field>]",keys,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/Table.java,Table,"addDict/1[java.util.Map<java.lang.String,Field>]",fields,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/wyxDBMS/../../wyxDBMS/src/Table.java,Table,"addDict/1[java.util.Map<java.lang.String,Field>]",key,2
