file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/xodus/../../xodus/utils/src/main/java/jetbrains/exodus/core/execution/JobProcessorAdapter.java,jetbrains.exodus.core.execution.JobProcessorAdapter,class,12,23,11,12,47,7,3,28,338,0.9188312,0.036923077,0.04923077,28,0,17,2,8,1,26,4,4,0,11,0,0,6,5,0,7,0,3,197,14,1,3,5,0,3,4,11,1,13,4,0,3,0,82,1025,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/xodus/../../xodus/utils/src/main/java/jetbrains/exodus/core/dataStructures/persistent/Flag.java,jetbrains.exodus.core.dataStructures.persistent.Flag,interface,0,5,5,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/xodus/../../xodus/vectoriadb-server/src/main/java/jetbrains/vectoriadb/server/IndexBuildProgressListener.java,jetbrains.vectoriadb.server.IndexBuildProgressListener,interface,3,6,3,3,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/xodus/../../xodus/vectoriadb-index/src/test/java/jetbrains/vectoriadb/index/util/collections/NBHMLLConcurrentInsertReplaceTest.java,jetbrains.vectoriadb.index.util.collections.NBHMLLConcurrentInsertReplaceTest,class,4,4,0,4,9,1,0,7,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,3,3,0,3,0,0,3,0,1,110,0,5,1,3,1,1,12,15,8,13,3,0,2,0,54,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/xodus/../../xodus/entity-store/src/main/java/jetbrains/exodus/entitystore/UnexpectedBlobVaultVersionException.java,jetbrains.exodus.entitystore.UnexpectedBlobVaultVersionException,class,1,2,1,1,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/xodus/../../xodus/environment/src/main/java/jetbrains/exodus/env/ContextualEnvironmentImpl.java,jetbrains.exodus.env.ContextualEnvironmentImpl,class,20,23,3,20,36,2,0,33,204,0.85714287,0.005263158,0.005263158,21,0,14,1,4,2,20,0,0,0,1,0,0,1,0,0,1,0,2,127,16,0,11,0,0,8,4,18,0,19,2,0,0,2,83,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/xodus/../../xodus/entity-store/src/test/java/jetbrains/exodus/util/ProcessKiller.java,jetbrains.exodus.util.ProcessKiller,interface,0,2,2,0,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/xodus/../../xodus/entity-store/src/test/java/jetbrains/exodus/entitystore/ConflictTest.java,jetbrains.exodus.entitystore.ConflictTest,class,6,6,0,6,3,4,0,24,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,38,0,1,0,0,0,19,8,6,1,6,1,0,0,0,23,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/xodus/../../xodus/environment/src/test/java/jetbrains/exodus/tree/btree/BTreeSpecificCursorNoDuplicatesTest.java,jetbrains.exodus.tree.btree.BTreeSpecificCursorNoDuplicatesTest,class,6,6,0,6,1,3,0,13,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,26,0,0,0,0,0,6,9,3,0,2,0,1,0,0,30,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/xodus/../../xodus/environment/src/main/java/jetbrains/exodus/log/NullLoggable.java,jetbrains.exodus.log.NullLoggable,class,4,9,5,4,5,1,0,2,4,0.5,0.16666667,0.16666667,4,4,4,0,0,0,4,0,0,0,1,1,1,0,0,0,1,0,1,15,4,0,1,0,0,0,3,1,0,1,0,0,0,0,14,17,0
