file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/xodus/../../xodus/utils/src/main/java/jetbrains/exodus/core/execution/JobProcessorAdapter.java,jetbrains.exodus.core.execution.JobProcessorAdapter,waitForJobs/1[long],waitJob,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/xodus/../../xodus/utils/src/main/java/jetbrains/exodus/core/execution/JobProcessorAdapter.java,jetbrains.exodus.core.execution.JobProcessorAdapter,"waitForJobs/3[jetbrains.exodus.core.execution.LatchJob,boolean,long]",waitJob,7
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/xodus/../../xodus/utils/src/main/java/jetbrains/exodus/core/execution/JobProcessorAdapter.java,jetbrains.exodus.core.execution.JobProcessorAdapter,getExceptionHandler/0,exceptionHandler,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/xodus/../../xodus/utils/src/main/java/jetbrains/exodus/core/execution/JobProcessorAdapter.java,jetbrains.exodus.core.execution.JobProcessorAdapter,executeJob/1[jetbrains.exodus.core.execution.Job],jobFinishedHandlers,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/xodus/../../xodus/utils/src/main/java/jetbrains/exodus/core/execution/JobProcessorAdapter.java,jetbrains.exodus.core.execution.JobProcessorAdapter,executeJob/1[jetbrains.exodus.core.execution.Job],jobStartingHandlers,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/xodus/../../xodus/utils/src/main/java/jetbrains/exodus/core/execution/JobProcessorAdapter.java,jetbrains.exodus.core.execution.JobProcessorAdapter,"acquireLatchJob/2[jetbrains.exodus.core.execution.LatchJob,long]",waitJob,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/xodus/../../xodus/utils/src/main/java/jetbrains/exodus/core/execution/JobProcessorAdapter.java,jetbrains.exodus.core.execution.JobProcessorAdapter,resume/0,isSuspended,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/xodus/../../xodus/utils/src/main/java/jetbrains/exodus/core/execution/JobProcessorAdapter.java,jetbrains.exodus.core.execution.JobProcessorAdapter,resume/0,suspendSemaphore,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/xodus/../../xodus/utils/src/main/java/jetbrains/exodus/core/execution/JobProcessorAdapter.java,jetbrains.exodus.core.execution.JobProcessorAdapter,resume/0,suspendLatchJob,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/xodus/../../xodus/utils/src/main/java/jetbrains/exodus/core/execution/JobProcessorAdapter.java,jetbrains.exodus.core.execution.JobProcessorAdapter,resume/0,resumeLatchJob,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/xodus/../../xodus/utils/src/main/java/jetbrains/exodus/core/execution/JobProcessorAdapter.java,jetbrains.exodus.core.execution.JobProcessorAdapter,JobProcessorAdapter/0,isSuspended,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/xodus/../../xodus/utils/src/main/java/jetbrains/exodus/core/execution/JobProcessorAdapter.java,jetbrains.exodus.core.execution.JobProcessorAdapter,JobProcessorAdapter/0,suspendSemaphore,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/xodus/../../xodus/utils/src/main/java/jetbrains/exodus/core/execution/JobProcessorAdapter.java,jetbrains.exodus.core.execution.JobProcessorAdapter,JobProcessorAdapter/0,started,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/xodus/../../xodus/utils/src/main/java/jetbrains/exodus/core/execution/JobProcessorAdapter.java,jetbrains.exodus.core.execution.JobProcessorAdapter,JobProcessorAdapter/0,finished,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/xodus/../../xodus/utils/src/main/java/jetbrains/exodus/core/execution/JobProcessorAdapter.java,jetbrains.exodus.core.execution.JobProcessorAdapter,waitForTimedJobs/1[long],timedWaitJob,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/xodus/../../xodus/utils/src/main/java/jetbrains/exodus/core/execution/JobProcessorAdapter.java,jetbrains.exodus.core.execution.JobProcessorAdapter,setExceptionHandler/1[jetbrains.exodus.core.execution.JobProcessorExceptionHandler],exceptionHandler,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/xodus/../../xodus/utils/src/main/java/jetbrains/exodus/core/execution/JobProcessorAdapter.java,jetbrains.exodus.core.execution.JobProcessorAdapter,isFinished/0,finished,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/xodus/../../xodus/utils/src/main/java/jetbrains/exodus/core/execution/JobProcessorAdapter.java,jetbrains.exodus.core.execution.JobProcessorAdapter,isSuspended/0,isSuspended,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/xodus/../../xodus/utils/src/main/java/jetbrains/exodus/core/execution/JobProcessorAdapter.java,jetbrains.exodus.core.execution.JobProcessorAdapter,suspend/0,isSuspended,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/xodus/../../xodus/utils/src/main/java/jetbrains/exodus/core/execution/JobProcessorAdapter.java,jetbrains.exodus.core.execution.JobProcessorAdapter,suspend/0,suspendSemaphore,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/xodus/../../xodus/utils/src/main/java/jetbrains/exodus/core/execution/JobProcessorAdapter.java,jetbrains.exodus.core.execution.JobProcessorAdapter,suspend/0,suspendLatchJob,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/xodus/../../xodus/utils/src/main/java/jetbrains/exodus/core/execution/JobProcessorAdapter.java,jetbrains.exodus.core.execution.JobProcessorAdapter,finish/0,waitJob,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/xodus/../../xodus/utils/src/main/java/jetbrains/exodus/core/execution/JobProcessorAdapter.java,jetbrains.exodus.core.execution.JobProcessorAdapter,finish/0,timedWaitJob,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/xodus/../../xodus/utils/src/main/java/jetbrains/exodus/core/execution/JobProcessorAdapter.java,jetbrains.exodus.core.execution.JobProcessorAdapter,"handleThrowable/3[jetbrains.exodus.core.execution.Job,jetbrains.exodus.core.execution.JobProcessorExceptionHandler,java.lang.Throwable]",exceptionHandler,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/xodus/../../xodus/vectoriadb-index/src/test/java/jetbrains/vectoriadb/index/util/collections/NBHMLLConcurrentInsertReplaceTest.java,jetbrains.vectoriadb.index.util.collections.NBHMLLConcurrentInsertReplaceTest,testConcurrentInsertReplace/0,THREAD_INSERTION_COUNT,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/xodus/../../xodus/vectoriadb-index/src/test/java/jetbrains/vectoriadb/index/util/collections/NBHMLLConcurrentInsertReplaceTest.java,jetbrains.vectoriadb.index.util.collections.NBHMLLConcurrentInsertReplaceTest,testConcurrentInsertReplace/0,THREAD_REPLACE_COUNT,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/xodus/../../xodus/vectoriadb-index/src/test/java/jetbrains/vectoriadb/index/util/collections/NBHMLLConcurrentInsertReplaceTest.java,jetbrains.vectoriadb.index.util.collections.NBHMLLConcurrentInsertReplaceTest,testConcurrentInsertReplace/0,INSERT_COUNT,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/xodus/../../xodus/environment/src/main/java/jetbrains/exodus/env/ContextualEnvironmentImpl.java,jetbrains.exodus.env.ContextualEnvironmentImpl,setCurrentTransaction/1[jetbrains.exodus.env.TransactionBase],threadTxns,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/xodus/../../xodus/environment/src/main/java/jetbrains/exodus/env/ContextualEnvironmentImpl.java,jetbrains.exodus.env.ContextualEnvironmentImpl,getCurrentTransaction/0,threadTxns,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/xodus/../../xodus/environment/src/main/java/jetbrains/exodus/env/ContextualEnvironmentImpl.java,jetbrains.exodus.env.ContextualEnvironmentImpl,finishTransactionUnsafe/1[jetbrains.exodus.env.TransactionBase],threadTxns,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/xodus/../../xodus/environment/src/main/java/jetbrains/exodus/log/NullLoggable.java,jetbrains.exodus.log.NullLoggable,isNullLoggable/1[byte],TYPE,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/xodus/../../xodus/environment/src/main/java/jetbrains/exodus/log/NullLoggable.java,jetbrains.exodus.log.NullLoggable,"create/2[long,long]",TYPE,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/xodus/../../xodus/environment/src/main/java/jetbrains/exodus/log/LogTestConfig.java,jetbrains.exodus.log.LogTestConfig,getMaxHighAddress/0,maxHighAddress,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/xodus/../../xodus/environment/src/main/java/jetbrains/exodus/log/LogTestConfig.java,jetbrains.exodus.log.LogTestConfig,setMaxHighAddress/1[long],maxHighAddress,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/xodus/../../xodus/query/src/main/java/jetbrains/exodus/query/And.java,jetbrains.exodus.query.And,"instantiateCustom/7[java.lang.String,jetbrains.exodus.query.QueryEngine,jetbrains.exodus.query.metadata.ModelMetaData,jetbrains.exodus.query.InstantiateContext,jetbrains.exodus.query.NodeBase,jetbrains.exodus.query.LinksEqualDecorator,jetbrains.exodus.query.And.Instantiatable]",traceFindLinks,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/xodus/../../xodus/openAPI/src/main/java/jetbrains/exodus/bindings/SignedDoubleBinding.java,jetbrains.exodus.bindings.SignedDoubleBinding,entryToDouble/1[jetbrains.exodus.ByteIterable],BINDING,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/xodus/../../xodus/openAPI/src/main/java/jetbrains/exodus/bindings/SignedDoubleBinding.java,jetbrains.exodus.bindings.SignedDoubleBinding,doubleToEntry/1[double],BINDING,1
