file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/xodus/../../xodus/utils/src/main/java/jetbrains/exodus/core/execution/JobProcessorAdapter.java,jetbrains.exodus.core.execution.JobProcessorAdapter,waitForJobs/1[long],false,127,1,3,2,1,1,1,3,0,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/xodus/../../xodus/utils/src/main/java/jetbrains/exodus/core/execution/JobProcessorAdapter.java,jetbrains.exodus.core.execution.JobProcessorAdapter,processorStarted/0,false,201,0,2,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/xodus/../../xodus/utils/src/main/java/jetbrains/exodus/core/execution/JobProcessorAdapter.java,jetbrains.exodus.core.execution.JobProcessorAdapter,"waitForLatchJob/2[jetbrains.exodus.core.execution.LatchJob,long]",false,193,2,8,7,1,1,1,3,1,0,2,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/xodus/../../xodus/utils/src/main/java/jetbrains/exodus/core/execution/JobProcessorAdapter.java,jetbrains.exodus.core.execution.JobProcessorAdapter,"waitForJobs/3[jetbrains.exodus.core.execution.LatchJob,boolean,long]",false,242,3,6,2,4,3,4,15,1,0,3,4,3,2,0,0,1,0,0,0,0,0,3,0,0,0,12,2,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/xodus/../../xodus/utils/src/main/java/jetbrains/exodus/core/execution/JobProcessorAdapter.java,jetbrains.exodus.core.execution.JobProcessorAdapter,getExceptionHandler/0,false,69,2,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/xodus/../../xodus/utils/src/main/java/jetbrains/exodus/core/execution/JobProcessorAdapter.java,jetbrains.exodus.core.execution.JobProcessorAdapter,queueLowest/1[jetbrains.exodus.core.execution.Job],false,176,2,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1028,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/xodus/../../xodus/utils/src/main/java/jetbrains/exodus/core/execution/JobProcessorAdapter.java,jetbrains.exodus.core.execution.JobProcessorAdapter,executeJob/1[jetbrains.exodus.core.execution.Job],false,207,5,8,1,7,5,9,22,0,2,1,9,1,1,0,2,2,0,0,0,2,0,4,0,0,0,12,4,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/xodus/../../xodus/utils/src/main/java/jetbrains/exodus/core/execution/JobProcessorAdapter.java,jetbrains.exodus.core.execution.JobProcessorAdapter,"acquireLatchJob/2[jetbrains.exodus.core.execution.LatchJob,long]",false,259,3,4,2,2,4,4,13,2,0,2,4,1,1,1,0,1,0,0,0,0,0,3,0,0,0,12,2,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/xodus/../../xodus/utils/src/main/java/jetbrains/exodus/core/execution/JobProcessorAdapter.java,jetbrains.exodus.core.execution.JobProcessorAdapter,resume/0,false,152,2,3,1,2,3,3,10,0,0,0,3,1,5,0,0,0,0,0,1,0,0,3,0,0,0,8,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/xodus/../../xodus/utils/src/main/java/jetbrains/exodus/core/execution/JobProcessorAdapter.java,jetbrains.exodus.core.execution.JobProcessorAdapter,JobProcessorAdapter/0,true,50,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,13,4,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/xodus/../../xodus/utils/src/main/java/jetbrains/exodus/core/execution/JobProcessorAdapter.java,jetbrains.exodus.core.execution.JobProcessorAdapter,queueLowestTimed/1[jetbrains.exodus.core.execution.Job],false,178,2,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1028,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/xodus/../../xodus/utils/src/main/java/jetbrains/exodus/core/execution/JobProcessorAdapter.java,jetbrains.exodus.core.execution.JobProcessorAdapter,afterProcessingJob/1[jetbrains.exodus.core.execution.Job],false,173,2,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/xodus/../../xodus/utils/src/main/java/jetbrains/exodus/core/execution/JobProcessorAdapter.java,jetbrains.exodus.core.execution.JobProcessorAdapter,"queue/2[jetbrains.exodus.core.execution.Job,jetbrains.exodus.core.dataStructures.Priority]",false,94,3,3,2,1,1,1,3,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,25,17,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/xodus/../../xodus/utils/src/main/java/jetbrains/exodus/core/execution/JobProcessorAdapter.java,jetbrains.exodus.core.execution.JobProcessorAdapter,waitForTimedJobs/1[long],false,132,1,3,2,1,1,1,3,0,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/xodus/../../xodus/utils/src/main/java/jetbrains/exodus/core/execution/JobProcessorAdapter.java,jetbrains.exodus.core.execution.JobProcessorAdapter,setExceptionHandler/1[jetbrains.exodus.core.execution.JobProcessorExceptionHandler],false,63,2,4,4,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/xodus/../../xodus/utils/src/main/java/jetbrains/exodus/core/execution/JobProcessorAdapter.java,jetbrains.exodus.core.execution.JobProcessorAdapter,isFinished/0,false,58,0,13,13,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
